model,metric_type,score,iteration
nb-bow,f1,0.6824644549763033,10
knn-tfidf,f1,0.32,10
knn-bow,f1,0.5208333333333334,10
svm-tfidf,f1,0.6596858638743456,10
svm-bow,f1,0.6451612903225807,10
t5,precision,0.7962962962962963,10
rf-tfidf,precision,0.7627118644067796,10
rf-bow,precision,0.7777777777777778,10
lr-tfidf,precision,0.7441860465116279,10
lf-bow,precision,0.7,10
nb-tfidf,precision,0.6857142857142857,10
nb-bow,precision,0.6857142857142857,10
knn-tfidf,precision,0.5454545454545454,10
knn-bow,precision,0.5813953488372093,10
svm-tfidf,precision,0.7411764705882353,10
svm-bow,precision,0.75,10
t5,recall,0.8113207547169812,10
rf-tfidf,recall,0.42452830188679247,10
rf-bow,recall,0.39622641509433965,10
lr-tfidf,recall,0.6037735849056604,10
lf-bow,recall,0.5943396226415094,10
nb-tfidf,recall,0.6792452830188679,10
nb-bow,recall,0.6792452830188679,10
knn-tfidf,recall,0.22641509433962265,10
knn-bow,recall,0.4716981132075472,10
svm-tfidf,recall,0.5943396226415094,10
svm-bow,recall,0.5660377358490566,10
t5,accuracy,0.804,11
rf-tfidf,accuracy,0.732,11
rf-bow,accuracy,0.724,11
lr-tfidf,accuracy,0.776,11
lf-bow,accuracy,0.776,11
nb-tfidf,accuracy,0.736,11
nb-bow,accuracy,0.736,11
knn-tfidf,accuracy,0.6,11
knn-bow,accuracy,0.64,11
svm-tfidf,accuracy,0.78,11
svm-bow,accuracy,0.784,11
t5,f1,0.7434554973821988,11
rf-tfidf,f1,0.5314685314685315,11
rf-bow,f1,0.5306122448979591,11
lr-tfidf,f1,0.688888888888889,11
lf-bow,f1,0.7113402061855671,11
nb-tfidf,f1,0.6526315789473685,11
nb-bow,f1,0.6526315789473685,11
knn-tfidf,f1,0.26470588235294124,11
knn-bow,f1,0.4444444444444444,11
svm-tfidf,f1,0.6892655367231638,11
svm-bow,f1,0.6823529411764706,11
t5,precision,0.7717391304347826,11
rf-tfidf,precision,0.8636363636363636,11
rf-bow,precision,0.8125,11
lr-tfidf,precision,0.7654320987654321,11
lf-bow,precision,0.7263157894736842,11
nb-tfidf,precision,0.6813186813186813,11
nb-bow,precision,0.6813186813186813,11
knn-tfidf,precision,0.4864864864864865,11
knn-bow,precision,0.5714285714285714,11
svm-tfidf,precision,0.782051282051282,11
svm-bow,precision,0.8169014084507042,11
t5,recall,0.7171717171717171,11
rf-tfidf,recall,0.3838383838383838,11
rf-bow,recall,0.3939393939393939,11
lr-tfidf,recall,0.6262626262626263,11
lf-bow,recall,0.696969696969697,11
nb-tfidf,recall,0.6262626262626263,11
nb-bow,recall,0.6262626262626263,11
knn-tfidf,recall,0.18181818181818182,11
knn-bow,recall,0.36363636363636365,11
svm-tfidf,recall,0.6161616161616161,11
svm-bow,recall,0.5858585858585859,11
t5,accuracy,0.856,12
rf-tfidf,accuracy,0.716,12
rf-bow,accuracy,0.704,12
lr-tfidf,accuracy,0.776,12
lf-bow,accuracy,0.76,12
nb-tfidf,accuracy,0.812,12
nb-bow,accuracy,0.812,12
knn-tfidf,accuracy,0.536,12
knn-bow,accuracy,0.656,12
svm-tfidf,accuracy,0.772,12
svm-bow,accuracy,0.772,12
t5,f1,0.8217821782178217,12
rf-tfidf,f1,0.5644171779141105,12
rf-bow,f1,0.5432098765432098,12
lr-tfidf,f1,0.7083333333333333,12
lf-bow,f1,0.7058823529411765,12
nb-tfidf,f1,0.7772511848341231,12
nb-bow,f1,0.7772511848341231,12
knn-tfidf,f1,0.2368421052631579,12
knn-bow,f1,0.5567010309278351,12
svm-tfidf,f1,0.7046632124352331,12
svm-bow,f1,0.6951871657754012,12
t5,precision,0.9222222222222223,12
rf-tfidf,precision,0.9019607843137255,12
rf-bow,precision,0.88,12
lr-tfidf,precision,0.85,12
lf-bow,precision,0.782608695652174,12
nb-tfidf,precision,0.8282828282828283,12
nb-bow,precision,0.8282828282828283,12
knn-tfidf,precision,0.45,12
knn-bow,precision,0.6585365853658537,12
svm-tfidf,precision,0.8395061728395061,12
svm-bow,precision,0.8666666666666667,12
t5,recall,0.7410714285714286,12
rf-tfidf,recall,0.4107142857142857,12
rf-bow,recall,0.39285714285714285,12
lr-tfidf,recall,0.6071428571428571,12
lf-bow,recall,0.6428571428571429,12
nb-tfidf,recall,0.7321428571428571,12
nb-bow,recall,0.7321428571428571,12
knn-tfidf,recall,0.16071428571428573,12
knn-bow,recall,0.48214285714285715,12
svm-tfidf,recall,0.6071428571428571,12
svm-bow,recall,0.5803571428571429,12
t5,accuracy,0.852,13
rf-tfidf,accuracy,0.772,13
rf-bow,accuracy,0.764,13
lr-tfidf,accuracy,0.784,13
lf-bow,accuracy,0.724,13
nb-tfidf,accuracy,0.784,13
nb-bow,accuracy,0.784,13
knn-tfidf,accuracy,0.604,13
knn-bow,accuracy,0.688,13
svm-tfidf,accuracy,0.784,13
svm-bow,accuracy,0.816,13
t5,f1,0.806282722513089,13
rf-tfidf,f1,0.6174496644295302,13
rf-bow,f1,0.593103448275862,13
lr-tfidf,f1,0.696629213483146,13
lf-bow,f1,0.6424870466321244,13
nb-tfidf,f1,0.7157894736842105,13
nb-bow,f1,0.7157894736842105,13
knn-tfidf,f1,0.2978723404255319,13
knn-bow,f1,0.5301204819277109,13
svm-tfidf,f1,0.6931818181818181,13
svm-bow,f1,0.7294117647058824,13
t5,precision,0.7857142857142857,13
rf-tfidf,precision,0.8214285714285714,13
rf-bow,precision,0.8269230769230769,13
lr-tfidf,precision,0.7294117647058823,13
lf-bow,precision,0.62,13
nb-tfidf,precision,0.7010309278350515,13
nb-bow,precision,0.7010309278350515,13
knn-tfidf,precision,0.4375,13
knn-bow,precision,0.6027397260273972,13
svm-tfidf,precision,0.7349397590361446,13
svm-bow,precision,0.8051948051948052,13
t5,recall,0.8279569892473119,13
rf-tfidf,recall,0.4946236559139785,13
rf-bow,recall,0.46236559139784944,13
lr-tfidf,recall,0.6666666666666666,13
lf-bow,recall,0.6666666666666666,13
nb-tfidf,recall,0.7311827956989247,13
nb-bow,recall,0.7311827956989247,13
knn-tfidf,recall,0.22580645161290322,13
knn-bow,recall,0.4731182795698925,13
svm-tfidf,recall,0.6559139784946236,13
svm-bow,recall,0.6666666666666666,13
